"term","global_count"
"
  [1,2,3",1
"
  { id: ""w"", type: ""expression"", latex: ""w = -1 + 5i"", pointStyle: ""POINT"", hidden: false, secret: false, showLabel: true, color: ""#3F68B6""}, 
  { id: ""z"", type: ""expression"", latex: ""z = 3 - 4i"", pointStyle: ""POINT"", hidden: false, secret: false, showLabel: true, color: ""#3F68B6""}
  ",1
" 
  { id: ""z"", type: ""expression"", latex: ""z = 3 - 4i"", pointStyle: ""POINT"", hidden: false, secret: false, showLabel: true, color: ""#3F68B6""}
  ",1
" -->
<!--       // Triangle 1: sides 1, √3, 2 (π/6) -->
<!--       { type: ""point"", id: ""A1"", x: 0, y: 0 }, -->
<!--       { type: ""point"", id: ""B1"", x: 2, y: 0 }, -->
<!--       { type: ""point"", id: ""C1"", x: 2, y: sqrt3 }, -->
<!--       { type: ""segment"", points: [""A1"", ""B1""",1
"""A2"", ""B2""",1
"""A3"", ""B3""",1
"""B1"", ""C1""",1
"""B2"", ""C2""",1
"""B3"", ""C3""",1
"""C1"", ""A1""",1
"""C1"", ""B1"", ""A1""",1
"""C2"", ""A2""",1
"""C2"", ""B2"", ""A2""",1
"""C3"", ""A3""",1
"""C3"", ""B3"", ""A3""",1
"(\\cos(t),0), (\\cos(t),\\sin(t))",2
"(\\cos(t)+\\sin(t)\\tan(t),0), (\\cos(t),\\sin(t))",2
"(0.5,1.25), (0.5+h,h^2 + h +1.25)",1
"[",1
"0,0,0",4
"0,0,R*1.2",1
"0,R*1.4,0",1
"0.5em",34
"15,15,15,15,15,15,15,15",4
"1em",14
"20,20,20",1
"25,25,25,25",1
"3",3
"4,5,6",1
"40,20",9
"40,20,20,20",3
"5, 5",1
"5,5",1
"55,15,15,15",10
"7,8,9",1
"also other resources such as **fact** and **proof** sheets",3
"ax, ay",1
"baseX, baseY",1
"Fact sheet: Discrete random variables versus continuous random variables",1
"For an introduction on matrices, please see Guide: Introduction to Matrices.",1
"For an introduction systems of linear equations, please see Guide: Solving systems of linear equations.",1
"For an overview of 2D curves, please see Overview: Recognizing 2D curves.",1
"For examples of using Gaussian elimination, please see Guide: Applications of Gaussian elimination",1
"For more information on how to perform a -test, please see Guide: -testing.",1
"For more information on other types of testing, see Guide: More on statistical testing",1
"For more information on type I and type II errors please see Guide: Errors in hypothesis testing.",1
"For more questions on the subject, please go to Questions: Introduction to integration.",1
"Guide: 3D Conic",1
"Guide: Arithmetic on complex numbers",2
"Guide: Biased and unbiased estimators",2
"Guide: Binomial theorem",1
"Guide: Changing co-ordinates in double integrals",1
"Guide: Co-ordinate changes in double integration",1
"Guide: Definite integrals",2
"Guide: Discrete random variables versus continuous random variables",1
"Guide: Errors in hypothesis testing",1
"Guide: Even and odd functions",2
"Guide: Expanding brackets",3
"Guide: Further summation notation",1
"Guide: Hyperbolics",2
"Guide: Integration by parts",4
"Guide: Integration by substitution",5
"Guide: Introduction matrices",1
"Guide: Introduction to 2D conic sections",6
"Guide: Introduction to complex numbers",5
"Guide: Introduction to continuity",3
"Guide: Introduction to data analysis",1
"Guide: Introduction to differentiability",2
"Guide: Introduction to double integration",1
"Guide: Introduction to expanding brackets",1
"Guide: Introduction to Gaussian elimination",2
"Guide: Introduction to hyperbolic functions",2
"Guide: Introduction to integration",1
"Guide: Introduction to limits",5
"Guide: Introduction to linear equations",1
"Guide: Introduction to matrices",4
"Guide: Introduction to multiple linear regression",1
"Guide: Introduction to Multiple Linear Regression",1
"Guide: Introduction to partial differentiation",2
"Guide: Introduction to polar coordinates",1
"Guide: Introduction to probability",1
"Guide: Introduction to quadratic equations",2
"Guide: Introduction to sigma notation",2
"Guide: Introduction to solving simultaneous equations",3
"Guide: Introduction to straight lines",5
"Guide: Inverse trigonometric functions",1
"Guide: Likelihood functions",2
"Guide: Maximum likelihood estimation",2
"Guide: Modulus-argument form for complex numbers",1
"Guide: Modulus-argument form of complex numbers",1
"Guide: Multiple linear regression",2
"Guide: Multiple linear regression.",1
"Guide: Multiple revolutions and negative angles",2
"Guide: Multiple revolutions and negative values",2
"Guide: Normal linear regression",2
"Guide: Normal linear regression.",2
"Guide: Operations on sets",2
"Guide: Overview of numbers",1
"Guide: PMFs, PDFs, and CDFs",1
"Guide: Proof by induction",1
"Guide: Properties of functions",1
"Guide: Properties of integration",6
"Guide: Properties of limits",1
"Guide: Rationalizing the denominator",1
"Guide: Tangents",2
"Guide: The binomial theorem",4
"Guide: The differential operator and higher derivatives",4
"Guide: The scalar product",2
"Guide: Transforming data in linear regression",1
"Guide: Transposing matrices",1
"Guide: Trigonometry (degrees)",1
"Guide: Trigonometry and integration",4
"Guide: Using the quadratic formula",1
"Guide: Vector equation of a line",1
"ix, iy",2
"n",3
"next Thu",1
"originX + radius * Math.cos(angle), originY + radius * Math.sin(angle)",1
"Overview: Number sets",5
"Overview: Probability distributions.",1
"Overview: Recognizing 2D curves",2
"OX + x - 0.4*y, OY - z + 0.25*y",1
"ox, oy",2
"pointX, pointY",1
"Proof sheet: Antiderivatives of other common functions",1
"Proof sheet: Definite integrals",1
"Proof sheet: Derivatives of other common functions",3
"Proof sheet: Deriving estimates for regression parameters",1
"Proof sheet: Estimating regression parameters in normal linear regression",1
"Proof sheet: Estimating Regression Parameters in Normal Linear Regression",1
"Proof sheet: Fundamental Theorem of Calculus",2
"Proof sheet: Rules of differentiation.",3
"Proof sheet: The Fundamental Theorem of Calculus",1
"Proof: Constructing the reals",1
"Proof: Properties of matrix arithmetic",1
"Proof: Simple linear regression",3
"Proof: The square root of 2 is irrational",1
"Proof: variances of regression parameters in normal linear regression",1
"px, py",1
"px,py",10
"Px,Py,0",1
"Px,Py,Pz",2
"Questions: Determinants",1
"Questions: Introduction to 2D Conic Sections",1
"Questions: Introduction to matrices",1
"qx,qy",2
"R*1.3,0,0",1
"To learn more about what conic sections are, please see Guide: Introduction to 2D conic sections.",1
"tx, ty",1
"tx,ty",3
"Worked examples: Integration",1
"x1,y1",1
"x2,y2",1
"xEndX, xEndY",2
